Id,Category
0,2
1,0
2,0
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,2
11,0
12,1
13,0
14,1
15,2
16,1
17,1
18,0
19,1
20,2
21,1
22,2
23,1
24,0
25,0
26,2
27,1
28,2
29,0
30,1
31,2
32,2
33,1
34,1
35,1
36,0
37,2
38,1
39,0
40,1
41,1
42,0
43,0
44,2
45,1
46,2
47,1
48,0
49,1
50,1
51,1
52,0
53,2
54,0
55,2
56,0
57,1
58,1
59,1
60,1
61,0
62,2
63,1
64,0
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,2
73,1
74,1
75,1
76,0
77,1
78,1
79,2
80,1
81,0
82,1
83,1
84,1
85,2
86,2
87,1
88,2
89,1
90,2
91,1
92,2
93,2
94,0
95,1
96,2
97,1
98,1
99,2
100,0
101,2
102,0
103,0
104,1
105,1
106,0
107,1
108,1
109,1
110,2
111,2
112,1
113,1
114,2
115,0
116,0
117,2
118,2
119,0
120,2
121,1
122,2
123,1
124,0
125,2
126,2
127,0
128,1
129,2
130,0
131,1
132,0
133,1
134,0
135,1
136,1
137,1
138,2
139,2
140,0
141,0
142,2
143,1
144,2
145,1
146,1
147,2
148,0
149,2
150,2
151,0
152,0
153,0
154,1
155,1
156,2
157,1
158,1
159,1
160,1
161,1
162,2
163,2
164,1
165,2
166,2
167,1
168,1
169,1
170,0
171,2
172,0
173,0
174,2
175,2
176,0
177,2
178,0
179,2
180,2
181,2
182,2
183,1
184,1
185,1
186,2
187,0
188,2
189,2
190,2
191,2
192,2
193,2
194,0
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,2
205,2
206,1
207,2
208,2
209,0
210,1
211,0
212,1
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,1
223,2
224,1
225,1
226,1
227,0
228,2
229,1
230,2
231,2
232,1
233,0
234,1
235,1
236,1
237,2
238,1
239,2
240,1
241,2
242,0
243,1
244,1
245,2
246,1
247,1
248,0
249,0
250,2
251,2
252,1
253,2
254,0
255,0
256,2
257,1
258,1
259,2
260,2
261,0
262,0
263,0
264,2
265,0
266,2
267,2
268,2
269,1
270,0
271,0
272,1
273,2
274,2
275,2
276,1
277,2
278,2
279,1
280,1
281,2
282,0
283,1
284,0
285,2
286,2
287,2
288,2
289,2
290,0
291,0
292,2
293,2
294,0
295,0
296,1
297,1
298,2
299,2
300,1
301,0
302,1
303,0
304,2
305,1
306,1
307,0
308,2
309,2
310,2
311,2
312,0
313,0
314,1
315,2
316,2
317,1
318,1
319,0
320,0
321,2
322,2
323,1
324,1
325,2
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,2
334,0
335,2
336,1
337,1
338,0
339,1
340,2
341,0
342,2
343,1
344,1
345,1
346,2
347,1
348,1
349,0
350,1
351,2
352,2
353,0
354,2
355,1
356,0
357,2
358,1
359,2
360,1
361,2
362,2
363,1
364,1
365,1
366,1
367,2
368,0
369,1
370,2
371,2
372,2
373,2
374,0
375,1
376,2
377,0
378,2
379,2
380,0
381,1
382,1
383,0
384,2
385,0
386,0
387,2
388,2
389,0
390,2
391,2
392,1
393,0
394,0
395,1
396,1
397,1
398,0
399,1
400,2
401,2
402,1
403,0
404,1
405,1
406,0
407,0
408,0
409,2
410,1
411,0
412,2
413,1
414,1
415,2
416,0
417,0
418,1
419,1
420,0
421,1
422,0
423,0
424,1
425,2
426,2
427,1
428,2
429,0
430,1
431,2
432,1
433,2
434,1
435,0
436,2
437,1
438,1
439,2
440,2
441,2
442,1
443,1
444,0
445,0
446,2
447,1
448,0
449,2
450,1
451,2
452,2
453,1
454,1
455,1
456,1
457,2
458,1
459,2
460,1
461,0
462,0
463,1
464,1
465,0
466,2
467,0
468,1
469,2
470,1
471,2
472,0
473,2
474,0
475,1
476,2
477,0
478,2
479,2
480,0
481,1
482,2
483,1
484,1
485,1
486,2
487,1
488,1
489,1
490,1
491,0
492,0
493,2
494,0
495,1
496,0
497,2
498,0
499,2
500,2
501,1
502,2
503,1
504,0
505,2
506,0
507,2
508,1
509,2
510,2
511,0
512,1
513,0
514,1
515,2
516,1
517,1
518,1
519,0
520,1
521,2
522,1
523,0
524,0
525,2
526,2
527,2
528,2
529,1
530,1
531,1
532,1
533,0
534,1
535,0
536,1
537,2
538,1
539,2
540,2
541,0
542,1
543,0
544,0
545,0
546,0
547,1
548,1
549,2
550,1
551,2
552,0
553,1
554,2
555,0
556,2
557,2
558,0
559,1
560,0
561,1
562,1
563,0
564,0
565,2
566,2
567,2
568,2
569,0
570,2
571,2
572,2
573,0
574,2
575,2
576,2
577,2
578,1
579,1
580,1
581,2
582,2
583,2
584,2
585,2
586,0
587,0
588,1
589,1
590,0
591,1
592,0
593,1
594,1
595,2
596,1
597,2
598,2
599,2
600,1
601,0
602,0
603,2
604,2
605,2
606,1
607,1
608,1
609,1
610,0
611,2
612,2
613,2
614,0
615,2
616,2
617,1
618,2
619,1
620,0
621,1
622,1
623,0
624,2
625,0
626,2
627,1
628,2
629,1
630,0
631,2
632,2
633,1
634,1
635,2
636,0
637,0
638,0
639,1
640,2
641,1
642,2
643,1
644,2
645,2
646,2
647,1
648,0
649,1
650,0
651,2
652,1
653,1
654,2
655,2
656,2
657,1
658,1
659,2
660,2
661,2
662,0
663,2
664,2
665,0
666,2
667,1
668,2
669,1
670,2
671,0
672,1
673,2
674,1
675,0
676,0
677,2
678,1
679,0
680,2
681,1
682,1
683,1
684,2
685,0
686,0
687,2
688,2
689,1
690,1
691,2
692,0
693,0
694,1
695,2
696,0
697,2
698,2
699,2
700,0
701,2
702,1
703,2
704,2
705,2
706,2
707,1
708,2
709,2
710,1
711,1
712,1
713,2
714,2
715,1
716,0
717,2
718,0
719,1
720,1
721,1
722,2
723,1
724,1
725,2
726,2
727,1
728,1
729,1
730,2
731,2
732,1
733,0
734,2
735,2
736,1
737,2
738,0
739,2
740,1
741,1
742,1
743,2
744,1
745,1
746,2
747,1
748,2
749,2
750,1
751,1
752,0
753,2
754,2
755,2
756,2
757,0
758,1
759,0
760,2
761,2
762,1
763,0
764,2
765,2
766,2
767,0
768,0
769,1
770,1
771,2
772,2
773,2
774,2
775,1
776,0
777,2
778,2
779,1
780,0
781,1
782,1
783,2
784,2
785,0
786,2
787,1
788,2
789,1
790,1
791,2
792,1
793,1
794,2
795,2
796,0
797,2
798,1
799,2
800,1
801,1
802,0
803,1
804,1
805,2
806,2
807,1
808,2
809,1
810,0
811,1
812,0
813,2
814,0
815,1
816,2
817,1
818,2
819,2
820,2
821,1
822,1
823,0
824,1
825,1
826,0
827,2
828,1
829,1
830,2
831,1
832,0
833,0
834,1
835,1
836,2
837,1
838,1
839,1
840,0
841,2
842,1
843,2
844,2
845,0
846,1
847,2
848,1
849,1
850,1
851,1
852,2
853,1
854,2
855,2
856,1
857,0
858,1
859,2
860,2
861,1
862,1
863,0
864,1
865,0
866,0
867,0
868,2
869,1
870,2
871,1
872,1
873,1
874,1
875,0
876,2
877,1
878,0
879,2
880,1
881,0
882,1
883,0
884,1
885,2
886,2
887,1
888,2
889,1
890,2
891,1
892,2
893,2
894,0
895,1
896,0
897,2
898,2
899,1
900,0
901,2
902,1
903,0
904,2
905,2
906,2
907,1
908,2
909,1
910,1
911,2
912,2
913,0
914,0
915,0
916,1
917,2
918,1
919,2
920,2
921,2
922,1
923,2
924,1
925,0
926,1
927,2
928,2
929,0
930,1
931,0
932,1
933,0
934,0
935,1
936,2
937,0
938,1
939,2
940,1
941,1
942,2
943,2
944,1
945,1
946,2
947,0
948,2
949,0
950,1
951,2
952,0
953,0
954,2
955,1
956,2
957,2
958,1
959,0
960,2
961,2
962,0
963,1
964,0
965,1
966,1
967,0
968,1
969,0
970,1
971,2
972,0
973,1
974,1
975,0
976,2
977,0
978,1
979,2
980,0
981,1
982,2
983,1
984,0
985,1
986,2
987,1
988,2
989,2
990,1
991,2
992,0
993,1
994,0
995,0
996,0
997,1
998,2
999,1
1000,0
1001,1
1002,1
1003,1
1004,1
1005,2
1006,1
1007,1
1008,1
1009,0
1010,2
1011,1
1012,1
1013,1
1014,1
1015,1
1016,2
1017,0
1018,2
1019,2
1020,1
1021,2
1022,1
1023,2
1024,1
1025,2
1026,1
1027,1
1028,1
1029,0
1030,0
1031,2
1032,0
1033,2
1034,1
1035,2
1036,0
1037,0
1038,0
1039,2
1040,1
1041,2
1042,2
1043,1
1044,2
1045,0
1046,0
1047,0
1048,1
1049,0
1050,0
1051,1
1052,2
1053,2
1054,0
1055,2
1056,0
1057,2
1058,1
1059,1
1060,2
1061,2
1062,2
1063,2
1064,1
1065,0
1066,1
1067,1
1068,0
1069,2
1070,0
1071,0
1072,2
1073,2
1074,2
1075,1
1076,0
1077,2
1078,2
1079,2
1080,1
1081,2
1082,2
1083,0
1084,2
1085,2
1086,0
1087,0
1088,2
1089,2
1090,2
1091,2
1092,1
1093,2
1094,1
1095,0
1096,1
1097,1
1098,1
1099,0
1100,0
1101,1
1102,0
1103,1
1104,1
1105,2
1106,2
1107,0
1108,0
1109,0
1110,1
1111,2
1112,2
1113,1
1114,1
1115,1
1116,2
1117,0
1118,2
1119,1
1120,2
1121,0
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,2
1129,1
1130,0
1131,2
1132,1
1133,2
1134,0
1135,1
1136,2
1137,2
1138,2
1139,1
1140,2
1141,2
1142,1
1143,2
1144,1
1145,2
1146,1
1147,2
1148,1
1149,0
1150,0
1151,1
1152,2
1153,2
1154,0
1155,0
1156,0
1157,0
1158,0
